"","mean","standard_dev","result_id","person_id","result_label"
"1",-0.616973401597861,0.588597672314509,"5","1","STANDING"
"2",-0.647452647823529,0.535919132370063,"5","1","STANDING"
"3",-0.652025983711765,0.52997438810499,"5","1","STANDING"
"4",-0.657534953336756,0.532444199278966,"5","1","STANDING"
"5",-0.654057956196078,0.533657624298974,"5","1","STANDING"
"6",-0.659554030525312,0.532248592816158,"5","1","STANDING"
"7",-0.645116775069519,0.53565673190081,"5","1","STANDING"
"8",-0.645325383887504,0.535450489791814,"5","1","STANDING"
"9",-0.641482099815508,0.539961296555247,"5","1","STANDING"
"10",-0.647290997762888,0.523756357116073,"5","1","STANDING"
"11",-0.644086386082888,0.53162090539876,"5","1","STANDING"
"12",-0.658825698502317,0.538804485611698,"5","1","STANDING"
"13",-0.654020403976524,0.542897492203905,"5","1","STANDING"
"14",-0.653875139931551,0.547634638062761,"5","1","STANDING"
"15",-0.60943354542139,0.558989320693267,"5","1","STANDING"
"16",-0.640511321434046,0.555611612698438,"5","1","STANDING"
"17",-0.653508930552941,0.53760786801534,"5","1","STANDING"
"18",-0.653391669550089,0.533196866545128,"5","1","STANDING"
"19",-0.655448835994474,0.54330706344489,"5","1","STANDING"
"20",-0.645527588281462,0.555186826371533,"5","1","STANDING"
"21",-0.65609994263066,0.55154645632626,"5","1","STANDING"
"22",-0.654135769801783,0.562833400033617,"5","1","STANDING"
"23",-0.651505895317469,0.552812555858973,"5","1","STANDING"
"24",-0.659999789363633,0.544871657712141,"5","1","STANDING"
"25",-0.65056776896369,0.548991375059471,"5","1","STANDING"
"26",-0.644122114043494,0.553975798884094,"5","1","STANDING"
"27",-0.640787210232781,0.567724950633311,"5","1","STANDING"
"28",-0.570213357480927,0.545480587120041,"4","1","SITTING"
"29",-0.625172535675936,0.565282399359474,"4","1","SITTING"
"30",-0.637487907064171,0.552927813737582,"4","1","SITTING"
"31",-0.559968098207487,0.515393889016589,"4","1","SITTING"
"32",-0.528745131451961,0.5275031161899,"4","1","SITTING"
"33",-0.556676454634403,0.545021079062719,"4","1","SITTING"
"34",-0.633179913416043,0.542316859701085,"4","1","SITTING"
"35",-0.631428602746702,0.565257219612126,"4","1","SITTING"
"36",-0.645136656863993,0.557757529544457,"4","1","SITTING"
"37",-0.646204836351961,0.550816672387583,"4","1","SITTING"
"38",-0.651208955461854,0.545716166173237,"4","1","SITTING"
"39",-0.612689181286453,0.550884241418409,"4","1","SITTING"
"40",-0.629372220849376,0.538692936898469,"4","1","SITTING"
"41",-0.638599739738164,0.543834994524077,"4","1","SITTING"
"42",-0.647367776978431,0.539348645725956,"4","1","SITTING"
"43",-0.647291931333868,0.537302887539045,"4","1","SITTING"
"44",-0.641141104321693,0.548735777917751,"4","1","SITTING"
"45",-0.640233389382709,0.548163880611422,"4","1","SITTING"
"46",-0.651022219299822,0.53813919887497,"4","1","SITTING"
"47",-0.645440083469037,0.545783063452797,"4","1","SITTING"
"48",-0.653014850709804,0.53620824261569,"4","1","SITTING"
